Emotion,Emotion_Level,Gender,Race,Ethnicity,Manipulation,Detection Score,Original Score
ANG,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.946853756904602,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9494630098342896,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.38866764307022095,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.6299815773963928,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.009613007307052612,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Equalization,1.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.43023112416267395,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9937103390693665,1.0
ANG,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9672740697860718,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9758368730545044,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.15627090632915497,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.3560514748096466,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.002635733690112829,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Equalization,0.8318749666213989,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9684782028198242,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.3234727382659912,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
DIS,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9744387269020081,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9551021456718445,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.24379700422286987,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.2944583594799042,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Equalization,0.9452753067016602,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,0.9978674650192261,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.31875163316726685,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
FEA,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9863861203193665,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9835094809532166,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.3273013234138489,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.412262499332428,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Equalization,0.8138881325721741,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,0.8608174920082092,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.3329486846923828,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.8625568747520447,1.0
HAP,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.952772855758667,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.9558435678482056,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.16062764823436737,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.7081311941146851,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Equalization,0.9549530744552612,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.09009258449077606,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,1.0,1.0
NEU,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.9753995537757874,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Lossless Compression,0.97642982006073,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,White Noise Addition,0.04323801025748253,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Gaussian Noise Addition,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Low-pass Filter,0.6354270577430725,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,High-pass Filter,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Band-pass Filter,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Downsampling,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Upsampling,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Equalization,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Reverberation,1.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Time-Scale Modification,0.13945211470127106,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Pitch Shifting,0.0,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Dynamic Range Compression,0.9632554650306702,1.0
SAD,XX.wav,Male,Caucasian,Not Hispanic,Clipping,1.0,1.0
ANG,HI.wav,Male,Caucasian,Not Hispanic,Lossy Compression,0.971773624420166,0.9999999403953552
